Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2015,Albertslund,1999.0,Begge,293,170.40955631399316,62373.03754266212,2.7303754266211606,77.81569965870307,14.334470989761092,5.1194539249146755,Rural
2016,Albertslund,2000.0,Begge,294,168.62244897959184,62144.55782312925,1.7006802721088436,71.42857142857143,19.387755102040817,7.482993197278912,Rural
2017,Albertslund,2001.0,Begge,116,167.43103448275863,61409.48275862069,2.586206896551724,62.93103448275862,24.137931034482758,10.344827586206897,Rural
2018,Albertslund,2002.0,Begge,68,168.52941176470588,60997.05882352941,,73.52941176470588,19.11764705882353,7.352941176470589,Rural
2019,Albertslund,2003.0,Begge,86,169.5581395348837,61650.0,2.3255813953488373,75.5813953488372,16.27906976744186,5.813953488372093,Rural
2020,Albertslund,2004.0,Begge,180,169.4611111111111,62438.333333333336,3.888888888888889,74.44444444444444,10.555555555555555,11.11111111111111,Rural
2021,Albertslund,2005.0,Begge,330,169.56666666666666,61680.0,0.9090909090909091,76.96969696969697,17.272727272727273,4.848484848484849,Rural
2022,Albertslund,2006.0,Begge,308,170.0064935064935,63532.142857142855,1.948051948051948,67.53246753246754,21.1038961038961,9.415584415584416,Rural
2023,Albertslund,2007.0,Begge,309,169.31715210355986,61755.66343042071,1.9417475728155338,71.52103559870551,19.41747572815534,7.119741100323624,Rural
2024,Albertslund,2008.0,Begge,335,168.41194029850746,61254.92537313433,4.477611940298507,69.25373134328359,17.91044776119403,8.358208955223882,Rural
2025,Albertslund,2009.0,Begge,307,168.84039087947883,61281.758957654725,2.6058631921824107,72.31270358306189,18.892508143322477,6.188925081433225,Rural
2014,Albertslund,1998.0,Kvinde,124,164.96774193548387,60348.3870967742,0.8064516129032258,75.80645161290323,17.741935483870968,5.64516129032258,Rural
2015,Albertslund,1999.0,Kvinde,149,165.26845637583892,59970.469798657716,2.013422818791946,77.85234899328859,14.093959731543624,6.0402684563758395,Rural
2016,Albertslund,2000.0,Kvinde,140,164.50714285714287,59698.57142857143,0.7142857142857143,74.28571428571429,17.142857142857142,7.857142857142857,Rural
2017,Albertslund,2001.0,Kvinde,52,162.96153846153845,58501.92307692308,3.8461538461538463,61.53846153846154,21.153846153846153,13.461538461538462,Rural
2018,Albertslund,2002.0,Kvinde,31,163.32258064516128,58670.967741935485,,70.96774193548387,19.35483870967742,9.67741935483871,Rural
2019,Albertslund,2003.0,Kvinde,40,164.0,58427.5,5.0,72.5,17.5,5.0,Rural
2020,Albertslund,2004.0,Kvinde,91,164.5164835164835,59002.1978021978,4.395604395604396,75.82417582417582,7.6923076923076925,12.087912087912088,Rural
2021,Albertslund,2005.0,Kvinde,148,164.13513513513513,57702.02702702703,2.027027027027027,77.02702702702703,16.89189189189189,4.054054054054054,Rural
2022,Albertslund,2006.0,Kvinde,138,164.7391304347826,58051.44927536232,1.4492753623188406,74.63768115942028,18.115942028985508,5.797101449275362,Rural
2023,Albertslund,2007.0,Kvinde,146,164.41780821917808,58936.98630136986,2.054794520547945,72.6027397260274,18.493150684931507,6.8493150684931505,Rural
2024,Albertslund,2008.0,Kvinde,164,164.0731707317073,59204.26829268293,3.6585365853658534,70.73170731707317,18.902439024390244,6.707317073170732,Rural
2025,Albertslund,2009.0,Kvinde,140,164.04285714285714,57737.857142857145,2.857142857142857,75.71428571428571,15.714285714285714,5.714285714285714,Rural
2014,Albertslund,1998.0,Mand,139,176.01438848920864,67458.27338129496,,79.13669064748201,15.827338129496402,5.0359712230215825,Rural
2015,Albertslund,1999.0,Mand,144,175.72916666666666,64859.02777777778,3.4722222222222223,77.77777777777779,14.583333333333334,4.166666666666666,Rural
2016,Albertslund,2000.0,Mand,154,172.36363636363637,64368.181818181816,2.5974025974025974,68.83116883116884,21.428571428571427,7.142857142857142,Rural
2017,Albertslund,2001.0,Mand,64,171.0625,63771.875,1.5625,64.0625,26.5625,7.8125,Rural
2018,Albertslund,2002.0,Mand,37,172.8918918918919,62945.94594594595,,75.67567567567568,18.91891891891892,5.405405405405405,Rural
2019,Albertslund,2003.0,Mand,46,174.3913043478261,64452.17391304348,,78.26086956521739,15.217391304347828,6.521739130434782,Rural
2020,Albertslund,2004.0,Mand,89,174.51685393258427,65951.68539325842,3.3707865168539324,73.03370786516854,13.48314606741573,10.112359550561797,Rural
2021,Albertslund,2005.0,Mand,182,173.9835164835165,64914.83516483517,,76.92307692307693,17.582417582417584,5.4945054945054945,Rural
2022,Albertslund,2006.0,Mand,170,174.28235294117647,67981.17647058824,2.3529411764705883,61.76470588235294,23.52941176470588,12.352941176470589,Rural
2023,Albertslund,2007.0,Mand,163,173.70552147239263,64280.36809815951,1.8404907975460123,70.5521472392638,20.245398773006134,7.361963190184049,Rural
2024,Albertslund,2008.0,Mand,171,172.57309941520467,63221.63742690058,5.263157894736842,67.83625730994152,16.95906432748538,9.941520467836257,Rural
2025,Albertslund,2009.0,Mand,167,172.8622754491018,64252.694610778446,2.3952095808383236,69.46107784431138,21.55688622754491,6.58682634730539,Rural
2014,Allerød,1998.0,Begge,349,170.20057306590257,58280.51575931232,1.7191977077363898,88.53868194842407,8.882521489971348,0.8595988538681949,Rural
2015,Allerød,1999.0,Begge,305,169.92786885245903,58325.24590163935,2.2950819672131146,87.21311475409837,8.852459016393443,1.639344262295082,Rural
2016,Allerød,2000.0,Begge,135,169.11851851851853,58199.25925925926,1.4814814814814816,82.22222222222221,15.555555555555555,0.7407407407407408,Rural
2017,Allerød,2001.0,Begge,143,167.21678321678323,57018.881118881116,2.097902097902098,82.51748251748252,13.286713286713287,2.097902097902098,Rural
2018,Allerød,2002.0,Begge,94,169.75531914893617,60214.89361702128,3.1914893617021276,77.6595744680851,15.957446808510639,3.1914893617021276,Rural
2019,Allerød,2003.0,Begge,90,170.9777777777778,61395.555555555555,5.555555555555555,78.88888888888889,14.444444444444443,1.1111111111111112,Rural
2020,Allerød,2004.0,Begge,346,170.40462427745663,57925.14450867052,1.7341040462427744,88.72832369942196,8.38150289017341,1.1560693641618496,Rural
2021,Allerød,2005.0,Begge,328,170.70731707317074,59623.170731707316,1.2195121951219512,86.28048780487805,10.975609756097562,1.524390243902439,Rural
2022,Allerød,2006.0,Begge,342,171.16081871345028,59972.22222222222,1.7543859649122806,84.7953216374269,10.23391812865497,3.216374269005848,Rural
2023,Allerød,2007.0,Begge,351,171.07977207977208,60458.40455840456,1.9943019943019942,82.62108262108262,12.82051282051282,2.564102564102564,Rural
2024,Allerød,2008.0,Begge,378,171.14021164021165,60508.99470899471,1.0582010582010581,83.5978835978836,13.227513227513226,2.1164021164021163,Rural
2025,Allerød,2009.0,Begge,335,170.48358208955224,59306.26865671642,1.791044776119403,86.26865671641791,10.149253731343283,1.791044776119403,Rural
2014,Allerød,1998.0,Kvinde,165,166.04848484848486,55428.48484848485,0.6060606060606061,90.30303030303031,7.878787878787878,1.2121212121212122,Rural
2015,Allerød,1999.0,Kvinde,166,166.6987951807229,56306.6265060241,3.614457831325301,87.34939759036145,8.433734939759036,0.6024096385542169,Rural
2016,Allerød,2000.0,Kvinde,62,165.0,54917.74193548387,1.6129032258064515,87.09677419354838,11.29032258064516,,Rural
2017,Allerød,2001.0,Kvinde,69,164.97101449275362,54818.840579710144,4.3478260869565215,81.15942028985508,11.594202898550725,2.898550724637681,Rural
2018,Allerød,2002.0,Kvinde,53,166.0943396226415,57928.301886792455,3.7735849056603774,79.24528301886792,15.09433962264151,1.8867924528301887,Rural
2019,Allerød,2003.0,Kvinde,35,166.02857142857144,60908.57142857143,5.714285714285714,71.42857142857143,20.0,2.857142857142857,Rural
2020,Allerød,2004.0,Kvinde,167,166.06586826347305,55604.19161676647,2.3952095808383236,86.82634730538922,8.982035928143713,1.7964071856287425,Rural
2021,Allerød,2005.0,Kvinde,161,166.0310559006211,55955.90062111801,1.8633540372670807,89.44099378881988,8.695652173913043,,Rural
2022,Allerød,2006.0,Kvinde,163,167.05521472392638,57599.386503067486,1.2269938650306749,84.66257668711657,11.65644171779141,2.4539877300613497,Rural
2023,Allerød,2007.0,Kvinde,167,166.4191616766467,57744.31137724551,2.3952095808383236,81.437125748503,13.77245508982036,2.3952095808383236,Rural
2024,Allerød,2008.0,Kvinde,179,167.05027932960894,57457.54189944134,2.2346368715083798,83.79888268156425,12.290502793296088,1.675977653631285,Rural
